[2018-07-18 00:00:13] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:06:27] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:26:51] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:33:46] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:39:48] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:51:04] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:51:05] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 00:56:08] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 01:00:14] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 01:06:29] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 01:11:31] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 01:25:38] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
[2018-07-18 01:40:35] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'include_once(): Failed opening \'acf-field-star-rating/acf-star_rating.php\' for inclusion (include_path=\'.:/opt/alt/php56/usr/share/pear:/opt/alt/php56/usr/share/php\')',   'file' => '/home/istinniy/public_html/wp-content/themes/clear theme/functions.php',   'line' => 321, ) [] []
